Année,Code INSEE région,Filière,Région,Part de la consommation nationale couverte (%),part_peryear_normalized,year_prodGWh,filiere_prodGWh
2020,52,Nuclear,Pays de la Loire,0,0,490068,0
2020,52,Non-renewablee,Pays de la Loire,0.7,0.006283662,490068,3079.421903
2020,93,Wind,Provence-Alpes-Côte d'Azur,0,0,490068,0
2020,93,Non-renewablee,Provence-Alpes-Côte d'Azur,1.5,0.013464991,490068,6598.761221
2020,93,Hydro,Provence-Alpes-Côte d'Azur,2.4,0.021543986,490068,10558.01795
2020,93,Solar,Provence-Alpes-Côte d'Azur,0.4,0.003590664,490068,1759.669659
2020,93,Nuclear,Provence-Alpes-Côte d'Azur,0,0,490068,0
2020,93,Bioenergy,Provence-Alpes-Côte d'Azur,0.2,0.001795332,490068,879.8348294
2021,84,Hydro,Auvergne-Rhône-Alpes,5.8,0.052299369,512429,26799.71326
2021,84,Wind,Auvergne-Rhône-Alpes,0.3,0.00270514,512429,1386.192065
2021,84,Bioenergy,Auvergne-Rhône-Alpes,0.2,0.001803427,512429,924.1280433
2021,84,Solar,Auvergne-Rhône-Alpes,0.3,0.00270514,512429,1386.192065
2021,84,Nuclear,Auvergne-Rhône-Alpes,17.9,0.161406673,512429,82709.45987
2021,84,Non-renewablee,Auvergne-Rhône-Alpes,0.5,0.004508566,512429,2310.320108
2021,27,Bioenergy,Bourgogne-Franche-Comté,0.1,0.000901713,512429,462.0640216
2021,27,Nuclear,Bourgogne-Franche-Comté,0,0,512429,0
2021,27,Solar,Bourgogne-Franche-Comté,0.1,0.000901713,512429,462.0640216
2021,27,Non-renewablee,Bourgogne-Franche-Comté,0.2,0.001803427,512429,924.1280433
2021,27,Wind,Bourgogne-Franche-Comté,0.4,0.003606853,512429,1848.256087
2021,27,Hydro,Bourgogne-Franche-Comté,0.2,0.001803427,512429,924.1280433
2021,53,Wind,Bretagne,0.4,0.003606853,512429,1848.256087
2021,53,Non-renewablee,Bretagne,0.2,0.001803427,512429,924.1280433
2021,53,Bioenergy,Bretagne,0.1,0.000901713,512429,462.0640216
2021,53,Hydro,Bretagne,0.1,0.000901713,512429,462.0640216
2021,53,Solar,Bretagne,0.1,0.000901713,512429,462.0640216
2021,53,Nuclear,Bretagne,0,0,512429,0
2021,24,Wind,Centre-Val de Loire,0.6,0.00541028,512429,2772.38413
2021,24,Non-renewablee,Centre-Val de Loire,0.1,0.000901713,512429,462.0640216
2021,24,Hydro,Centre-Val de Loire,0,0,512429,0
2021,24,Bioenergy,Centre-Val de Loire,0.1,0.000901713,512429,462.0640216
2021,24,Solar,Centre-Val de Loire,0.1,0.000901713,512429,462.0640216
2021,24,Nuclear,Centre-Val de Loire,14.6,0.131650135,512429,67461.34716
2021,94,Bioenergy,Corse,0,0,512429,0
2021,94,Hydro,Corse,0.1,0.000901713,512429,462.0640216
2021,94,Solar,Corse,0.1,0.000901713,512429,462.0640216
2021,94,Wind,Corse,0,0,512429,0
2021,94,Nuclear,Corse,0,0,512429,0
2021,94,Non-renewablee,Corse,0.2,0.001803427,512429,924.1280433
2021,44,Hydro,Grand Est,1.8,0.016230839,512429,8317.15239
2021,44,Bioenergy,Grand Est,0.3,0.00270514,512429,1386.192065
2021,44,Nuclear,Grand Est,13,0.117222723,512429,60068.32281
2021,44,Wind,Grand Est,1.6,0.014427412,512429,7393.024346
2021,44,Solar,Grand Est,0.2,0.001803427,512429,924.1280433
2021,44,Non-renewablee,Grand Est,1.6,0.014427412,512429,7393.024346
2021,32,Hydro,Hauts-de-France,0,0,512429,0
2021,32,Wind,Hauts-de-France,2.2,0.019837692,512429,10165.40848
2021,32,Bioenergy,Hauts-de-France,0.2,0.001803427,512429,924.1280433
